<><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><>
Date: 01/01/20 Time: 22:32 Location: Raffles Hotel
64 bytes from 8.8.8.8: icmp_seq=327 ttl=55 time=17.698 ms
64 bytes from 8.8.8.8: icmp_seq=328 ttl=55 time=18.066 ms
64 bytes from 8.8.8.8: icmp_seq=329 ttl=55 time=17.852 ms
64 bytes from 8.8.8.8: icmp_seq=330 ttl=55 time=18.133 ms
64 bytes from 8.8.8.8: icmp_seq=331 ttl=55 time=28.407 ms
64 bytes from 8.8.8.8: icmp_seq=332 ttl=55 time=17.848 ms
64 bytes from 8.8.8.8: icmp_seq=333 ttl=55 time=17.153 ms
64 bytes from 8.8.8.8: icmp_seq=334 ttl=55 time=17.947 ms
64 bytes from 8.8.8.8: icmp_seq=335 ttl=55 time=17.522 ms
64 bytes from 8.8.8.8: icmp_seq=336 ttl=55 time=18.670 ms
64 bytes from 8.8.8.8: icmp_seq=337 ttl=55 time=27.048 ms
64 bytes from 8.8.8.8: icmp_seq=338 ttl=55 time=17.341 ms
64 bytes from 8.8.8.8: icmp_seq=339 ttl=55 time=17.450 ms
64 bytes from 8.8.8.8: icmp_seq=340 ttl=55 time=17.461 ms
64 bytes from 8.8.8.8: icmp_seq=341 ttl=55 time=17.976 ms
64 bytes from 8.8.8.8: icmp_seq=342 ttl=55 time=17.816 ms
64 bytes from 8.8.8.8: icmp_seq=343 ttl=55 time=17.575 ms
64 bytes from 8.8.8.8: icmp_seq=344 ttl=55 time=32.711 ms
64 bytes from 8.8.8.8: icmp_seq=345 ttl=55 time=17.468 ms
64 bytes from 8.8.8.8: icmp_seq=346 ttl=55 time=17.738 ms
64 bytes from 8.8.8.8: icmp_seq=347 ttl=55 time=39.863 ms
64 bytes from 8.8.8.8: icmp_seq=348 ttl=55 time=18.817 ms
64 bytes from 8.8.8.8: icmp_seq=349 ttl=55 time=17.861 ms
